epoch,loss,data,set
1,1.0430692434310913,0,train
1,0.9722670912742615,0,validation
2,0.9359683990478516,0,train
2,0.9057021141052246,0,validation
3,0.8297752141952515,0,train
3,0.8111733198165894,0,validation
4,0.7225346565246582,0,train
4,0.7047276496887207,0,validation
5,0.6027578115463257,0,train
5,0.678789496421814,0,validation
6,0.5613624453544617,0,train
6,0.8754762411117554,0,validation
7,0.5158725380897522,0,train
7,0.8079438209533691,0,validation
8,0.49090611934661865,0,train
8,0.6233528852462769,0,validation
9,0.4687889516353607,0,train
9,0.668380618095398,0,validation
10,0.4548783004283905,0,train
10,0.6583017706871033,0,validation
11,0.44432827830314636,0,train
11,0.6953887939453125,0,validation
12,0.43434324860572815,0,train
12,0.653995931148529,0,validation
13,0.4248831570148468,0,train
13,0.6634835600852966,0,validation
14,0.41881847381591797,0,train
14,0.6456307768821716,0,validation
15,0.41263800859451294,0,train
15,0.6508256196975708,0,validation
16,0.4056558310985565,0,train
16,0.6330499053001404,0,validation
17,0.4007914364337921,0,train
17,0.6502643823623657,0,validation
18,0.3940788507461548,0,train
18,0.6188287138938904,0,validation
19,0.3874172568321228,0,train
19,0.6172243356704712,0,validation
20,0.38041186332702637,0,train
20,0.604515790939331,0,validation
21,0.3765925168991089,0,train
21,0.5721241235733032,0,validation
22,0.3700629770755768,0,train
22,0.5882560610771179,0,validation
23,0.36454492807388306,0,train
23,0.5739582777023315,0,validation
24,0.3592258393764496,0,train
24,0.6001754403114319,0,validation
25,0.3585731089115143,0,train
25,0.5561165809631348,0,validation
26,0.35372403264045715,0,train
26,0.5724910497665405,0,validation
27,0.34383678436279297,0,train
27,0.5794349312782288,0,validation
28,0.338034063577652,0,train
28,0.5829482078552246,0,validation
29,0.33780279755592346,0,train
29,0.5948442816734314,0,validation
30,0.3334794342517853,0,train
30,0.5803350210189819,0,validation
31,0.33229532837867737,0,train
31,0.5876740217208862,0,validation
32,0.3242787718772888,0,train
32,0.560587465763092,0,validation
33,0.32193824648857117,0,train
33,0.641635537147522,0,validation
34,0.3243494927883148,0,train
34,0.5855369567871094,0,validation
35,0.3210328221321106,0,train
35,0.6714761257171631,0,validation
36,0.3162459433078766,0,train
36,0.603921115398407,0,validation
37,0.30315735936164856,0,train
37,0.6116156578063965,0,validation
38,0.2991679906845093,0,train
38,0.5883103609085083,0,validation
39,0.29556238651275635,0,train
39,0.6075001358985901,0,validation
40,0.29372602701187134,0,train
40,0.6138305068016052,0,validation
41,0.286779522895813,0,train
41,0.671889066696167,0,validation
42,0.2843998074531555,0,train
42,0.6160799860954285,0,validation
43,0.27746638655662537,0,train
43,0.6260437369346619,0,validation
44,0.2757469713687897,0,train
44,0.6671081781387329,0,validation
45,0.26998648047447205,0,train
45,0.6627334356307983,0,validation
46,0.27620935440063477,0,train
46,0.6395249366760254,0,validation
47,0.2765990197658539,0,train
47,0.7431229948997498,0,validation
48,0.26501473784446716,0,train
48,0.6625122427940369,0,validation
49,0.2593536376953125,0,train
49,0.6896790266036987,0,validation
50,0.25964468717575073,0,train
50,0.664086639881134,0,validation
51,0.2549624443054199,0,train
51,0.6878275275230408,0,validation
52,0.276155948638916,0,train
52,0.7111713886260986,0,validation
53,0.2642653286457062,0,train
53,0.6786803007125854,0,validation
54,0.25629931688308716,0,train
54,0.683825671672821,0,validation
55,0.2488916963338852,0,train
55,0.6908113956451416,0,validation
56,0.2503963112831116,0,train
56,0.7210311889648438,0,validation
57,0.2458481341600418,0,train
57,0.6540014147758484,0,validation
58,0.2351481169462204,0,train
58,0.6755388379096985,0,validation
59,0.2495996654033661,0,train
59,0.7398202419281006,0,validation
60,0.2452334314584732,0,train
60,0.6972126960754395,0,validation
61,0.25702571868896484,0,train
61,0.7704708576202393,0,validation
62,0.2290845811367035,0,train
62,0.7188559770584106,0,validation
63,0.23040960729122162,0,train
63,0.7043741941452026,0,validation
64,0.23056530952453613,0,train
64,0.7009384632110596,0,validation
65,0.21945820748806,0,train
65,0.7430214881896973,0,validation
66,0.21864053606987,0,train
66,0.7265644669532776,0,validation
67,0.2201814502477646,0,train
67,0.7162415981292725,0,validation
68,0.22054842114448547,0,train
68,0.6718000769615173,0,validation
69,0.2231307029724121,0,train
69,0.752017080783844,0,validation
70,0.23430146276950836,0,train
70,0.6767019629478455,0,validation
71,0.23210936784744263,0,train
71,0.8063172698020935,0,validation
72,0.21947622299194336,0,train
72,0.6940350532531738,0,validation
73,0.21293924748897552,0,train
73,0.7330818176269531,0,validation
74,0.22065772116184235,0,train
74,0.7737297415733337,0,validation
75,0.21006320416927338,0,train
75,0.7251662015914917,0,validation
76,0.2164551466703415,0,train
76,0.7869784235954285,0,validation
77,0.2057352215051651,0,train
77,0.7203511595726013,0,validation
78,0.19800707697868347,0,train
78,0.7126275300979614,0,validation
79,0.20002451539039612,0,train
79,0.7177549004554749,0,validation
80,0.19460363686084747,0,train
80,0.7522033452987671,0,validation
81,0.2022375911474228,0,train
81,0.7148555517196655,0,validation
82,0.20381394028663635,0,train
82,0.8057636618614197,0,validation
83,0.20495915412902832,0,train
83,0.7271158695220947,0,validation
84,0.19585706293582916,0,train
84,0.7489631772041321,0,validation
85,0.20305867493152618,0,train
85,0.7279335260391235,0,validation
86,0.20117412507534027,0,train
86,0.7636966109275818,0,validation
87,0.19139276444911957,0,train
87,0.7743948698043823,0,validation
88,0.18781840801239014,0,train
88,0.798235297203064,0,validation
89,0.1818055659532547,0,train
89,0.8011164665222168,0,validation
90,0.20557980239391327,0,train
90,0.7400017976760864,0,validation
91,0.22035744786262512,0,train
91,0.8200714588165283,0,validation
92,0.21324554085731506,0,train
92,0.7517803907394409,0,validation
93,0.20097851753234863,0,train
93,0.8139084577560425,0,validation
94,0.2018957883119583,0,train
94,0.7584400773048401,0,validation
95,0.2006794959306717,0,train
95,0.8216137886047363,0,validation
96,0.18471659719944,0,train
96,0.7682595252990723,0,validation
97,0.18861055374145508,0,train
97,0.7832036018371582,0,validation
98,0.18087270855903625,0,train
98,0.7577033042907715,0,validation
99,0.1996038854122162,0,train
99,0.7587271332740784,0,validation
100,0.18562112748622894,0,train
100,0.8214688301086426,0,validation
101,0.18125885725021362,0,train
101,0.8036301732063293,0,validation
102,0.1791180670261383,0,train
102,0.8070603609085083,0,validation
103,0.18408425152301788,0,train
103,0.7613967657089233,0,validation
104,0.1711934357881546,0,train
104,0.7680174112319946,0,validation
105,0.1851002275943756,0,train
105,0.7871347665786743,0,validation
106,0.18747785687446594,0,train
106,0.7504487037658691,0,validation
107,0.17236767709255219,0,train
107,0.7964030504226685,0,validation
108,0.1864381730556488,0,train
108,0.8122652769088745,0,validation
109,0.18086126446723938,0,train
109,0.7766306400299072,0,validation
110,0.17188170552253723,0,train
110,0.8092817068099976,0,validation
111,0.18722772598266602,0,train
111,0.8127195835113525,0,validation
112,0.17510436475276947,0,train
112,0.783430278301239,0,validation
113,0.19754557311534882,0,train
113,0.8680676221847534,0,validation
114,0.23820723593235016,0,train
114,0.7134212851524353,0,validation
115,0.20930831134319305,0,train
115,0.8524994850158691,0,validation
116,0.22222580015659332,0,train
116,0.7392085790634155,0,validation
117,0.20930741727352142,0,train
117,0.8569881319999695,0,validation
118,0.20172838866710663,0,train
118,0.7767559289932251,0,validation
119,0.18481038510799408,0,train
119,0.8125803470611572,0,validation
120,0.1771659553050995,0,train
120,0.7893390655517578,0,validation
121,0.1697847843170166,0,train
121,0.8172309398651123,0,validation
122,0.1635005623102188,0,train
122,0.8203917145729065,0,validation
123,0.16581390798091888,0,train
123,0.7955567836761475,0,validation
124,0.16925005614757538,0,train
124,0.8261826634407043,0,validation
125,0.1632327139377594,0,train
125,0.8212153315544128,0,validation
126,0.1663946658372879,0,train
126,0.8175563812255859,0,validation
127,0.16370365023612976,0,train
127,0.8046313524246216,0,validation
128,0.15995778143405914,0,train
128,0.7969657182693481,0,validation
129,0.15972477197647095,0,train
129,0.7906984090805054,0,validation
130,0.16116897761821747,0,train
130,0.788027822971344,0,validation
131,0.16389453411102295,0,train
131,0.8195865154266357,0,validation
132,0.16172902286052704,0,train
132,0.814455509185791,0,validation
133,0.16469095647335052,0,train
133,0.8247080445289612,0,validation
134,0.18353049457073212,0,train
134,0.7862669229507446,0,validation
135,0.1674065887928009,0,train
135,0.8210099935531616,0,validation
136,0.17138929665088654,0,train
136,0.7956131100654602,0,validation
137,0.1781967580318451,0,train
137,0.7532985210418701,0,validation
138,0.17731307446956635,0,train
138,0.8282516002655029,0,validation
139,0.16691936552524567,0,train
139,0.7976296544075012,0,validation
140,0.1605035960674286,0,train
140,0.793883740901947,0,validation
141,0.1571836918592453,0,train
141,0.8110800981521606,0,validation
142,0.16541220247745514,0,train
142,0.7733510732650757,0,validation
143,0.16915830969810486,0,train
143,0.8209764957427979,0,validation
144,0.17003343999385834,0,train
144,0.7827610373497009,0,validation
145,0.16527721285820007,0,train
145,0.8049713373184204,0,validation
146,0.16764651238918304,0,train
146,0.7989157438278198,0,validation
147,0.16181102395057678,0,train
147,0.7963131666183472,0,validation
148,0.16844037175178528,0,train
148,0.8414644002914429,0,validation
149,0.15560758113861084,0,train
149,0.8446217775344849,0,validation
150,0.15868759155273438,0,train
150,0.8564915657043457,0,validation
151,0.16016250848770142,0,train
151,0.8300806283950806,0,validation
152,0.15637525916099548,0,train
152,0.8176783323287964,0,validation
153,0.15757663547992706,0,train
153,0.7750998139381409,0,validation
154,0.15952791273593903,0,train
154,0.8186274766921997,0,validation
155,0.16562031209468842,0,train
155,0.8300166726112366,0,validation
156,0.16898413002490997,0,train
156,0.7966220378875732,0,validation
157,0.16438718140125275,0,train
157,0.8254585862159729,0,validation
158,0.1567162722349167,0,train
158,0.7738235592842102,0,validation
159,0.16641706228256226,0,train
159,0.7639889121055603,0,validation
160,0.18082302808761597,0,train
160,0.8631263375282288,0,validation
161,0.16520710289478302,0,train
161,0.7805233001708984,0,validation
162,0.16857880353927612,0,train
162,0.8502118587493896,0,validation
163,0.16860449314117432,0,train
163,0.7695502042770386,0,validation
164,0.16133622825145721,0,train
164,0.8404433131217957,0,validation
165,0.1617049276828766,0,train
165,0.7901164293289185,0,validation
166,0.1598762422800064,0,train
166,0.8189846277236938,0,validation
167,0.15736426413059235,0,train
167,0.7999041080474854,0,validation
168,0.1545467972755432,0,train
168,0.7648118138313293,0,validation
169,0.16725380718708038,0,train
169,0.8010072112083435,0,validation
170,0.15959791839122772,0,train
170,0.7346349358558655,0,validation
171,0.14906452596187592,0,train
171,0.7533242702484131,0,validation
172,0.15056613087654114,0,train
172,0.8047798275947571,0,validation
173,0.16192398965358734,0,train
173,0.7751954197883606,0,validation
174,0.1508697271347046,0,train
174,0.7853662371635437,0,validation
175,0.15415434539318085,0,train
175,0.775046706199646,0,validation
176,0.1557079702615738,0,train
176,0.8117752075195312,0,validation
177,0.16216018795967102,0,train
177,0.800568699836731,0,validation
178,0.15232481062412262,0,train
178,0.8137987852096558,0,validation
179,0.1527608036994934,0,train
179,0.8422269225120544,0,validation
180,0.15332971513271332,0,train
180,0.7907270193099976,0,validation
181,0.15153397619724274,0,train
181,0.8171284198760986,0,validation
182,0.1477164775133133,0,train
182,0.8136171698570251,0,validation
183,0.14842243492603302,0,train
183,0.7925180792808533,0,validation
184,0.14726479351520538,0,train
184,0.8068663477897644,0,validation
185,0.14693285524845123,0,train
185,0.8035652041435242,0,validation
186,0.1587229073047638,0,train
186,0.8109458684921265,0,validation
187,0.15554898977279663,0,train
187,0.8225811123847961,0,validation
188,0.1482609659433365,0,train
188,0.8381596803665161,0,validation
189,0.1492116004228592,0,train
189,0.8237289786338806,0,validation
190,0.14508044719696045,0,train
190,0.8094082474708557,0,validation
191,0.15766605734825134,0,train
191,0.8112687468528748,0,validation
192,0.15589414536952972,0,train
192,0.7899569272994995,0,validation
193,0.14698673784732819,0,train
193,0.7923230528831482,0,validation
194,0.1579396277666092,0,train
194,0.838387668132782,0,validation
195,0.15756699442863464,0,train
195,0.7887828946113586,0,validation
196,0.16826307773590088,0,train
196,0.7972508072853088,0,validation
197,0.15986692905426025,0,train
197,0.744251012802124,0,validation
198,0.14958325028419495,0,train
198,0.7559916973114014,0,validation
199,0.1537499874830246,0,train
199,0.7654960751533508,0,validation
200,0.15378113090991974,0,train
200,0.7942042946815491,0,validation
201,0.14775167405605316,0,train
201,0.790061354637146,0,validation
202,0.15154841542243958,0,train
202,0.7681448459625244,0,validation
203,0.16526766121387482,0,train
203,0.8615099787712097,0,validation
204,0.16668125987052917,0,train
204,0.7855635285377502,0,validation
205,0.14684492349624634,0,train
205,0.8151646256446838,0,validation
206,0.14992603659629822,0,train
206,0.7951531410217285,0,validation
207,0.14787557721138,0,train
207,0.8219577074050903,0,validation
208,0.14773541688919067,0,train
208,0.8082329034805298,0,validation
209,0.1520916372537613,0,train
209,0.7834365367889404,0,validation
210,0.14166949689388275,0,train
210,0.7953697443008423,0,validation
211,0.1554526835680008,0,train
211,0.8372730612754822,0,validation
212,0.1416362076997757,0,train
212,0.7848352193832397,0,validation
213,0.14087170362472534,0,train
213,0.8113563656806946,0,validation
214,0.15383076667785645,0,train
214,0.8251886963844299,0,validation
215,0.15317703783512115,0,train
215,0.7859363555908203,0,validation
