comp,y
Ba0.9Co0.7Fe0.2Nb0.1O3,-0.324875991
Ba2Bi0.1Sc0.2Co1.7O5,0.302381062
Ba0.95Ca0.05FeO3,1.397940009
Ba0.95Ca0.05Fe0.95In0.05O3,0
BaCe0.5Fe0.5O3,1.151262854
Ba0.9Co0.7Fe0.2Mo0.1O3,-0.428343793
BaCo0.6Fe0.3Nb0.1O3,0.243038049
BaCo0.7Fe0.2Nb0.1O3,0.093869311
BaCo0.7Fe0.2Nb0.1O3,0.705466293
BaCo0.7Fe0.22Sc0.08O3,-0.522878745
BaCo0.6Fe0.2Sn0.2O3,0.176091259
BaCo0.6Fe0.3Sn0.1O3,0
BaCo0.6Fe0.2Sn0.1Y0.1O3,0
BaCo0.7Fe0.22Y0.08O3,-0.366531544
BaCo0.6Fe0.2Y0.2O3,0.301029996
BaCo0.7Fe0.2Yb0.1O3,0.836564662
BaCoO3,0.425258803
BaCoO3,0.887054378
BaCo0.875Sc0.125O3,0.390935107
BaCo0.75Sc0.25O3,-0.017728767
BaCo0.625Sc0.375O3,0.23299611
BaFe0.9Bi0.1O3,1.066224142
BaFe0.6Co0.3Ce0.1O3,0.291521715
BaFe0.95Ce0.05O3,0.301029996
BaFe0.85Cu0.15O3,0.029752924
BaFe0.75Cu0.25O3,0.516118963
BaFe0.4Co0.4Zr0.2O3,0.93446359
BaFe0.4Co0.4Zr0.2O3,0
BaCo0.2Fe0.5Zr0.3O3,0.418979067
BaCo0.5Fe0.2Zr0.3O3,0.271158389
BaFe0.4Co0.4Zr0.1Y0.1O3,0.062222892
BaFe0.4Co0.4Zr0.1Y0.1O3,0.760033922
BaFe0.95In0.05O3,0.698970004
BaFe0.95Nb0.05O3,0.100134724
BaFe0.75Ni0.25O3,0.6
BaFeO3,0.448898634
BaFe0.95Sn0.05O3,0.306666603
BaFe0.8Sn0.2O3,0.603492885
BaFe0.3Sn0.2Bi0.5O3,0.784087969
BaFe0.5Sn0.2Bi0.3O3,-0.364338077
BaFe0.7Sn0.2Bi0.1O3,0.340556274
BaFe0.95Zr0.05O3,-0.301029996
BaFe0.8Zn0.1Bi0.1O3,0.759127394
Ba0.95Gd0.05FeO3,0.397940009
Bi0.7Pr0.1Ba0.2FeO3,0.469151131
Bi0.5Sr0.5Fe0.8Co0.2O3,0.181465766
Bi0.5Sr0.5FeO3,0.7202887
Bi0.2Sr0.8FeO3,1.230448921
Bi0.5Sr0.5Fe0.8Cu0.2O3,0.6
Bi0.5Sr0.5Fe0.9Nb0.1O3,0
Bi0.5Sr0.5Fe0.9Sb0.1O3,-1.22184875
Bi0.5Sr0.5Fe0.9Ti0.1O3,0.569926693
Bi0.5Sr0.5Fe0.8Ti0.2O3,0.711535144
Bi0.5Sr0.5Fe0.9Ta0.1O3,0.2
Ba0.95La0.05FeO3,0.249157212
Ba0.95La0.05FeO3,0.031623546
Ba0.6La0.4FeO3,0.84509804
Ba0.8La0.2FeO3,0.82105273
Ba0.9La0.1FeO3,1.079181246
Ba0.95La0.05Fe0.95P0.05O3,-0.23962907
(Ba0.5Sr0.5)0.8Co0.8Fe0.2O3,0.477121255
Ba0.5Sr0.5Co0.8Fe0.2O3,-0.184757718
Ba0.5Sr0.5Co0.8Fe0.2O3,-0.046944408
Ba0.5Sr0.5Co0.8Fe0.2O3,1.040430065
Ba0.2Sr0.8Co0.8Fe0.2O3,-0.420268122
Ba0.5Sr0.5Co0.2Fe0.8O3,0.763041536
Ba0.5Sr0.5Co0.4Fe0.6O3,0.977162584
Ba0.5Sr0.5Co0.7Fe0.2Ni0.1O3,-0.698970004
Ba0.9Sr0.1Co0.9In0.1O3,0.428055391
Ba0.6Sr0.4Co0.9Nb0.1O3,-0.171133375
Ba0.5Sr0.5Cu0.2Fe0.8O3,0.813146341
Ba0.5Sr0.5Cu0.4Fe0.6O3,0.760015343
Ba0.5Sr0.5Co0.1Zn0.1Fe0.8O3,0.882140259
Ba0.5Sr0.5FeO3,0.912018412
Ba0.5Sr0.5Fe0.8Cu0.1Ti0.1O3,0.029383778
Ba0.5Sr0.5Fe0.9Mo0.1O3,0.808604262
Ba0.5Sr0.5Fe0.9Nb0.1O3,0.305408186
Ba0.5Sr0.5Fe0.9Sb0.1O3,0.325720861
Ba0.5Sr0.5Fe0.8Zn0.2O3,0.860572906
Ba0.4Sr0.4La0.2FeO3,2.121222126
Ba0.4Sr0.4La0.2Fe0.9Mn0.1O3,1.826243342
Ba0.4Sr0.4La0.2Fe0.9Mn0.2O3,1.239272694
Ba0.95Sm0.05FeO3,0.544068044
Ba0.5Sr0.5Zn0.2Fe0.8O3,0.900451095
CaMn0.9Nb0.1O3,1.358913121
CaMnO3,1.250058867
GdBaCo2O5,1.245046156
GdBaCo2O5,0.752713812
GdBaFe2O5,1.279533211
GdBaMnFeO5,1.397940009
Gd0.5Ba0.5Mn0.5Fe0.5O3,1.602059991
GdBa0.5Sr0.5Co2O5,0.421714724
GdBa0.5Sr0.5CoFeO5,-0.086858896
Gd0.5Sr0.5CoO3,1.5910206
Gd0.8Sr0.2CoO3,1.255272505
La0.5Ba0.5CoO3,0.182306324
La0.4Ba0.6CoO3,0.096085902
La0.1Ba0.9Co0.4Fe0.6O3,1.395553617
La0.3Ba0.7Co0.6Fe0.4O3,0.710378697
La0.6Ba0.4Co0.2Fe0.8O3,0.431363764
LaBaCo2O5,1.208102749
LaBaCo2O5,-0.086856005
LaBaFe2O5,1.916757168
La0.4Ba0.6Fe0.8Zn0.2O3,2.352078236
La0.4Bi0.4Sr0.2FeO3,1.342422681
La0.7Ca0.3CrO3,3.0485401
La0.6Ca0.4Fe0.8Ni0.2O3,1.704106029
La0.6Ca0.4Fe0.8Ni0.2O3,1.825831211
LaCo0.4Ni0.4Cu0.2O3,1.316988261
LaCoO3,3.057503234
LaCrO3,3.905297753
LaFe0.5Ni0.5O3,2.30901603
LaNi0.2Fe0.8O3,3.392337622
LaFeO3,3.183306839
LaFeO3,3.087068323
LaMnO3,5.604791352
LaNi0.6Fe0.4O3,3.725395483
LaNi0.6Fe0.4O3,2.735665896
La0.6Sr0.4CoO3,1.345607467
La0.6Sr0.4CoO3,1.840943487
La0.6Sr0.4CoO3,0.999802306
La0.8Sr0.2CoO3,2.036082394
La0.8Sr0.2CoO3,3.5
La0.8Sr0.2CoO3,3.193188995
La0.5Sr0.5Co0.8Fe0.2O3,2.001295712
La0.6Sr0.4Co0.2Fe0.8O3,1.15254497
La0.6Sr0.4Co0.2Fe0.8O3,1.746517727
La0.6Sr0.4Co0.2Fe0.8O3,1.356288996
La0.7Sr0.3Co0.8Fe0.2O3,2.330877749
La0.4Sr0.6Co0.2Fe0.7Nb0.1O3,0.643198458
La0.8Sr0.2Co0.4Mn0.6O3,1.8
La0.8Sr0.2Co0.4Mn0.6O3,1.2
La0.1Sr0.9Co0.85Nb0.15O3,-0.086858896
La0.8Sr0.2Co0.8Ni0.2O3,3.031435964
La0.3Sr0.7Cr0.3Fe0.7O3,1.249199551
La0.75Sr0.25Cr0.5Mn0.5O3,1.55541003
La0.7Sr0.3CuO3,2.825776197
La0.6Sr0.4Cu0.2Fe0.8O3,0.050259178
La0.7Sr0.3Cu0.4Fe0.6O3,2.55339586
La0.8Sr0.2Cu0.2Fe0.8O3,1.846838642
La0.8Sr0.2FeO3,3.291223787
La0.5Sr0.5FeO3,1.503447888
La0.6Sr0.4FeO3,1.835992544
La0.6Sr0.4FeO3,1.624989893
La0.5Sr0.5Fe0.8Cu0.2O3,1.663371567
La0.5Sr0.5Fe0.9Nb0.1O3,0.313083855
La0.85Sr0.15MnO3,5.05523458
La0.85Sr0.15MnO3,3.059600893
La0.8Sr0.2MnO3,3.447239265
La0.8Sr0.2MnO3,3.169900812
La0.8Sr0.2MnO3,3.71791326
La0.7Sr0.3MnO3,2.665433223
La0.8Sr0.2Mn0.8Cu0.2O3,2.599411041
La0.7Sr0.3Mn0.9Mg0.1O3,2.448285982
La0.7Sr0.3Mn0.8Mg0.2O3,1.880135536
La0.8Sr0.2Mn0.9Sc0.1O3,1.308367002
La0.8Sr0.2Sc0.2Mn0.8O3,1.95591234
La0.4Sr0.6Ni0.2Fe0.8O3,1.536644884
La0.3Sr0.7Ti0.3Fe0.7O3,1.041407885
NdBa0.75Ca0.25Co2O5,-0.434294482
NdBa0.5Sr0.5Co1.5Fe0.5O5,-0.10857362
NdBaCoMnO5,1.454179723
NdBaCo1.5Mn0.5O5,1.114435097
NdBaCo2O5,0.543407248
NdBaCu2O5,1.640105084
NdBaFe2O5,1.487287075
NdBaMnO5,2.050894091
NdBa0.5Sr0.5Co1.5Mn0.5O5,0.10857362
NdBa0.5Sr0.5Co2O5,0.838922676
NdBa0.5Sr0.5Cu2O5,-0.562331676
NdCoO3,3.045181113
Nd0.5Sr0.5CoO3,0.690507762
Nd0.5Sr0.5Co0.5Fe0.5O3,0.162860431
NdSrCo2O5,0.347435586
Nd0.5Sr0.5Fe0.8Cu0.2O3,1.018943256
PrBa0.8Ca0.2Co1.5Fe0.5O5,-0.217147241
PrBa0.8Ca0.2Co2O5,0.217147241
PrBaCo1.5Fe0.5O5,1.301029996
PrBaCo2O5,-0.632114501
PrBaCo2O5,0.027018131
PrBaCo2O5,0.477121255
PrBaCo1.9Sc0.1O5,-0.282249276
PrBaFe2O5,1.092911274
PrBa(Fe0.8Sc0.2)2O5,0.841633574
PrBaMn1.5Fe0.5O5,1.980083461
PrBaMn2O5,2.032360582
PrBa0.5Sr0.25Ca0.5Co2O5,-0.347435586
PrBa0.5Sr0.5CoCuO5,0.173717793
PrBa0.5Sr0.5CoFeO5,-0.173717793
PrBa0.5Sr0.5Co2O5,0.116196845
