comp,y
Ba2Ca6Mo8O24,-4.464
Ba2Ca6V8O24,-3.549
Ba2Ca6Zr8O24,-1.077
Ba4Ca4Mo8O24,-4.392
Ba4Ca4Zr8O24,-1.045
Sr2Ca6Nb8O24,-4.684
Sr2Ca6Ta8O24,-5.487
Sr2Ca6V8O24,-3.615
Sr2Ca6Zr8O24,-0.952
Sr4Ca4Ta8O24,-5.403
Sr4Ca4V8O24,-3.571
Ba2Gd6Mo8O24,-4.622
Ba2Gd6V8O24,-4.149
Ba2Gd6Zr8O24,-5.489
Ba4Gd4Mo8O24,-4.209
Ba4Gd4V8O24,-3.713
Ba4Gd4Zr8O24,-5.301
Ca2Gd6V8O24,-4.187
Ca4Gd4V8O24,-3.86
Sr2Gd6V8O24,-4.153
Sr2Gd6Zr8O24,-5.55
Sr4Gd4Mo8O24,-4.285
Sr4Gd4Ta8O24,-5.911
Sr4Gd4V8O24,-3.846
Sr4Gd4Zr8O24,-5.4
Ba8Mo8O24,-4.097
Ba8Nb8O24,-4.29
Ba8Ta8O24,-5.015
Ba2La6Nb8O24,-5.607
Ba2La6Ta8O24,-6.333
Ba2La6Zr8O24,-5.765
Ba4La4Nb8O24,-5.445
Ba4La4Ta8O24,-6.079
Ca8Mo8O24,-4.49
Ca8Nb8O24,-4.733
Ca8Zr8O24,-0.95
Ca2La6Mo8O24,-4.86
Ca2La6Nb8O24,-5.405
Ca2La6Ta8O24,-6.022
Ca2La6Zr8O24,-5.641
Ca4La4Mo8O24,-4.703
Ca4La4Nb8O24,-5.354
Ca4La4Ta8O24,-6.046
Ca4La4Zr8O24,-5.49
Gd8Nb8O24,-5.222
Gd8Ta8O24,-5.581
Gd8V8O24,-4.452
Gd8Zr8O24,-5.215
La6Gd2Mo8O24,-5.123
La6Gd2Ta8O24,-5.99
La6Gd2Zr8O24,-5.75
La4Gd4Mo8O24,-5.085
La4Gd4Ta8O24,-5.667
Pr8Nb8O24,-4.787
Pr8Ta8O24,-5.272
Pr8V8O24,-4.051
Pr8Zr8O24,-4.989
La6Pr2Mo8O24,-5.108
La6Pr2Nb8O24,-5.371
La6Pr2Zr8O24,-5.79
La4Pr4Nb8O24,-5.223
La4Pr4Ta8O24,-5.686
La4Pr4V8O24,-4.52
La4Pr4Zr8O24,-5.544
Sr8Mo8O24,-4.46
Sr8Nb8O24,-4.58
Sr8Ta8O24,-5.383
Sr8Zr8O24,-0.952
Sr2La6Nb8O24,-5.586
Sr2La6Zr8O24,-5.779
Sr4La4Mo8O24,-4.777
Sr4La4Ta8O24,-6.247
Sr4La4Zr8O24,-5.609
Y8Mo8O24,-4.495
Y8Ta8O24,-5.492
Y8Zr8O24,-5.043
La6Y2Mo8O24,-5.044
La6Y2Nb8O24,-5.387
La6Y2Ta8O24,-6.074
La6Y2V8O24,-4.567
La6Y2Zr8O24,-5.716
La4Y4Mo8O24,-4.796
La4Y4Nb8O24,-5.015
La4Y4Ta8O24,-5.509
La4Y4V8O24,-4.507
La4Y4Zr8O24,-5.247
Ba2Pr6Mo8O24,-4.264
Ba2Pr6Ta8O24,-5.791
Ba2Pr6V8O24,-3.858
Ba2Pr6Zr8O24,-5.181
Ba4Pr4Mo8O24,-4.036
Ba4Pr4Ta8O24,-5.627
Ba4Pr4Zr8O24,-5.067
Ca2Pr6Mo8O24,-4.195
Ca2Pr6Nb8O24,-4.863
Ca2Pr6Ta8O24,-5.406
Ca2Pr6V8O24,-3.918
Ca2Pr6Zr8O24,-4.947
Ca4Pr4Mo8O24,-4.191
Ca4Pr4Nb8O24,-5.047
Ca4Pr4Ta8O24,-5.745
Ca4Pr4V8O24,-3.734
Ca4Pr4Zr8O24,-5.031
Pr6Gd2Nb8O24,-4.135
Pr6Gd2Zr8O24,-5.102
Pr4Gd4Mo8O24,-4.601
Pr4Gd4Ta8O24,-1.798
Sr2Pr6Mo8O24,-4.204
Sr2Pr6Ta8O24,-5.579
Sr4Pr4Mo8O24,-4.136
Sr4Pr4Nb8O24,-5.106
Sr4Pr4Ta8O24,-5.811
Sr4Pr4V8O24,-3.63
Sr4Pr4Zr8O24,-5.191
Pr6Y2Mo8O24,-4.314
Pr6Y2Nb8O24,-4.825
Pr6Y2Ta8O24,-5.161
Pr6Y2V8O24,-4.037
Pr6Y2Zr8O24,-5.227
Pr4Y4Mo8O24,-4.362
Pr4Y4Nb8O24,-4.573
Pr4Y4V8O24,-4.042
Pr4Y4Zr8O24,-4.749
Ba2Sr6Nb8O24,-4.523
