comp,y
Ba7Zn1Co8O24,199.6087629
Ba7Zn1Fe8O24,125.2909586
Ba7Zn1Mn8O24,217.0413431
Ba7Zn1Ni8O24,304.4503226
Ba6Zn2Co8O24,263.0113288
Ba6Zn2Hf2Co6O24,251.3886041
Ba6Zn2Nb2Co6O24,220.9850513
Ba6Zn2Ta2Co6O24,218.7493505
Ba6Zn2Ti2Co6O24,222.9513376
Ba6Zn2Zr2Co6O24,224.5035136
Ba6Zn2Fe8O24,210.0051294
Ba6Zn2Hf2Fe6O24,205.8651944
Ba6Zn2Nb2Fe6O24,196.7009537
Ba6Zn2Ta2Fe6O24,195.7806617
Ba6Zn2Ti2Fe6O24,212.5678526
Ba6Zn2Zr2Fe6O24,272.5386039
Ba6Zn2Mn8O24,286.1850373
Ba6Zn2Hf2Mn6O24,224.502762
Ba6Zn2Mn6Nb2O24,207.6272343
Ba6Zn2Ta2Mn6O24,206.6656116
Ba6Zn2Ti2Mn6O24,217.8300685
Ba6Zn2Zr2Mn6O24,208.037049
Ba6Zn2Ni8O24,374.2721422
Ba6Zn2Hf2Ni6O24,362.7709521
Ba6Zn2Nb2Ni6O24,333.8661401
Ba6Zn2Ta2Ni6O24,319.353684
Ba6Zn2Ti2Ni6O24,353.4536391
Ba6Zn2Zr2Ni6O24,310.6492149
Ba4La1Zn3Ni8O24,0
Ba4La1Zn3Co8O24,264.6837076
Ba4La1Zn3Fe8O24,226.4394604
Ba4La1Zn3Mn8O24,273.0884136
La7Zn1Co8O24,90.06383248
La7Zn1Fe8O24,99.71883048
La7Zn1Mn8O24,276.2708395
La7Zn1Ni8O24,181.1266575
La6Zn2Co8O24,135.731659
La6Zn2Hf2Co6O24,165.0673233
La6Zn2Nb2Co6O24,180.4692518
La6Zn2Ta2Co6O24,177.6055922
La6Zn2Ti2Co6O24,159.3241712
La6Zn2Zr2Co6O24,132.5966364
La6Zn2Fe8O24,131.634341
La6Zn2Hf2Fe6O24,171.9870531
La6Zn2Nb2Fe6O24,178.8566213
La6Zn2Ta2Fe6O24,170.7327069
La6Zn2Ti2Fe6O24,109.0474159
La6Zn2Zr2Fe6O24,135.5581162
La6Zn2Mn8O24,264.8570727
La6Zn2Hf2Mn6O24,307.4348048
La6Zn2Mn6Nb2O24,293.6595505
La6Zn2Ta2Mn6O24,284.587705
La6Zn2Ti2Mn6O24,263.3807419
La6Zn2Zr2Mn6O24,278.6341419
La6Zn2Ni8O24,229.2909105
